root,category,fixture,word,engine,outcome,median_ns,min_ns,max_ns,samples,below_floor,floor_ns,nonempty,predicate,construct,witness,note
machine,edge-cases,strrep-identity,mwpat,complete,ok,23600,23600,23600,1,false,100,false,,,,
machine,edge-cases,strrep-identity,mwuta,complete,ok,53900,53900,53900,1,false,100,true,,,,
machine,edge-cases,strrep-identity,muuta,complete,ok,50200,50200,50200,1,false,100,false,,,,
machine,edge-cases,strrep-identity,ndpat,complete,ok,274400,274400,274400,1,false,100,true,,,,
machine,edge-cases,strrep-identity,ndmat,complete,ok,242300,242300,242300,1,false,100,false,,,,
machine,edge-cases,strrep-identity,imat,complete,ok,241400,241400,241400,1,false,100,true,,,,
machine,edge-cases,strrep-identity,ipat,complete,ok,348400,348400,348400,1,false,100,false,,,,
machine,edge-cases,strrep-identity,pat,compiled,ok,65500,65500,65500,1,false,100,true,,,,
machine,edge-cases,strrep-identity,uta,compiled,ok,46800,46800,46800,1,false,100,true,,,,
machine,edge-cases,strrep-identity,mat,compiled,ok,58600,58600,58600,1,false,100,true,,,,
machine,edge-cases,strrep-identity,mupat,compiled,ok,65500,65500,65500,1,false,100,true,,,,
machine,edge-cases,strrep-identity,mumat,compiled,ok,63700,63700,63700,1,false,100,true,,,,
machine,edge-cases,strrep-identity,mwpat,compiled,ok,25000,25000,25000,1,false,100,false,,,,
machine,edge-cases,strrep-identity,mwuta,compiled,ok,58100,58100,58100,1,false,100,true,,,,
machine,edge-cases,strrep-identity,muuta,compiled,ok,59900,59900,59900,1,false,100,false,,,,
machine,edge-cases,strrep-identity,ndpat,compiled,ok,262200,262200,262200,1,false,100,true,,,,
machine,edge-cases,strrep-identity,ndmat,compiled,ok,242400,242400,242400,1,false,100,false,,,,
machine,edge-cases,strrep-identity,imat,compiled,ok,258000,258000,258000,1,false,100,true,,,,
machine,edge-cases,strrep-identity,ipat,compiled,ok,241000,241000,241000,1,false,100,false,,,,
machine,edge-cases,truncate-morphotactic,sag,complete,ok,73800,73800,73800,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,sas,complete,ok,64500,64500,64500,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,bubibi,complete,ok,100700,100700,100700,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,sa,complete,ok,117800,117800,117800,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,ag,complete,ok,76100,76100,76100,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,as,complete,ok,69500,69500,69500,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,gbubibi,complete,ok,260000,260000,260000,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,gas,complete,ok,217500,217500,217500,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,bag,complete,ok,58400,58400,58400,1,false,100,false,,,,
machine,edge-cases,truncate-morphotactic,sag,compiled,ok,164900,164900,164900,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,sas,compiled,ok,166800,166800,166800,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,bubibi,compiled,ok,181700,181700,181700,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,sa,compiled,ok,174100,174100,174100,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,ag,compiled,ok,166400,166400,166400,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,as,compiled,ok,173500,173500,173500,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,gbubibi,compiled,ok,431100,431100,431100,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,gas,compiled,ok,586600,586600,586600,1,false,100,true,,,,
machine,edge-cases,truncate-morphotactic,bag,compiled,ok,2200,2200,2200,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,mun,complete,ok,102200,102200,102200,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,muno,complete,ok,263800,263800,263800,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,muns,complete,ok,273200,273200,273200,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,munt,complete,ok,274900,274900,274900,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,mano,complete,ok,291500,291500,291500,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,mans,complete,ok,289100,289100,289100,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,mant,complete,ok,323300,323300,323300,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,man,complete,ok,154400,154400,154400,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,mino,complete,ok,264200,264200,264200,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,mins,complete,ok,251300,251300,251300,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,mint,complete,ok,303500,303500,303500,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,min,complete,ok,90300,90300,90300,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,fer,complete,ok,72100,72100,72100,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,ferid,complete,ok,220800,220800,220800,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,feres,complete,ok,239900,239900,239900,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,feresid,complete,ok,409900,409900,409900,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,duc,complete,ok,75200,75200,75200,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,tul,complete,ok,80500,80500,80500,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,ducit,complete,ok,245300,245300,245300,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,ducunt,complete,ok,293100,293100,293100,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,lob,complete,ok,74000,74000,74000,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,gelobt,complete,ok,281000,281000,281000,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,lobh,complete,ok,192300,192300,192300,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,gelobth,complete,ok,660800,660800,660800,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,gelobthh,complete,ok,459900,459900,459900,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,vic,complete,ok,75600,75600,75600,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,vinc,complete,ok,152200,152200,152200,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,pannox,complete,ok,540200,540200,540200,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,benox,complete,ok,314800,314800,314800,1,false,100,true,,,,
