anagumanyikana	ok	3S+1-NONPST-juntar-NEU-REC-IND;3P+2-NONPST-3S+1-juntar-NEU-REC-IND;6-NONPST-juntar-NEU-REC-IND;3P+2-NONPST-juntar-NEU-REC-IND;3S+1-NONPST-3S+1-juntar-NEU-REC-IND;6-NONPST-3S+1-juntar-NEU-REC-IND
anakwangisani	SKIPPED_PATHOLOGICAL	-
tifungulerinimbo	no-parse	-
manyerezero	ok	6-pensar-acção;6-9-pensar-acção;6-10-pensar-acção;6-10-pensamento;6-9-pensamento;6-pensamento
mang	no-parse	-
aantawira	ok	3S+1-PASSADO-2P-responder-IND;3P+2-PASSADO-3S+1-responder-IND;6-PASSADO-3S+1-responder-IND;6-PASSADO-2P-responder-IND;3P+2-PASSADO-2P-responder-IND;3S+1-PASSADO-3S+1-responder-IND
aufuza	ok	ele+PST-3-destruir-IND;ele+PST-14-destruir-IND
munagumanika	SKIPPED_PATHOLOGICAL	-
anakadzi	no-parse	-
pikhanyerezera	ok	8-IMP-pensar-IND;8-IMP-3S+1-pensar-IND
mulomowa	no-parse	-
abaramu	no-parse	-
watani	no-parse	-
mbathaukira	no-parse	-
saka	no-parse	-
kariote	no-parse	-
kaphesa	ok	PURP-3S+1-matar-CAU-IND;PURP-matar-CAU-IND
anakupasani	ok	3P+2-NONPST-2S-dar-IND-PL;3P+2-NONPST-17-dar-IND-PL;3P+2-NONPST-15-dar-IND-PL;3S+1-NONPST-2S-dar-IND-PL;3S+1-NONPST-17-dar-IND-PL;3S+1-NONPST-15-dar-IND-PL;6-NONPST-17-dar-IND-PL;6-NONPST-2S-dar-IND-PL;6-NONPST-15-dar-IND-PL
mbugawika	ok	COHES-2S-dividir-NEU-IND;COHES-3-3S+1-dividir-NEU-IND;COHES-2S-3S+1-dividir-NEU-IND;COHES-14-3S+1-dividir-NEU-IND;COHES-14-dividir-NEU-IND;COHES-3-dividir-NEU-IND
njani	no-parse	-
pimbverere	ok	8-2P-obedecer-APPLIC-SBJV;8-3S+1-obedecer-APPLIC-SBJV
lungula	no-parse	-
andigweza	no-parse	-
ninivi	no-parse	-
mbadya	ok	COHES-3S+1-comer-IND;COHES-3S+1-3S+1-comer-IND;COHES-3P+2-comer-IND;COHES-3P+2-3S+1-comer-IND;COHES-6-3S+1-comer-IND;COHES-6-comer-IND
m'phya	no-parse	-
nyakatangale	ok	10-flouta;9-flouta;1-flouta
umbwera-umbwera	no-parse	-
infera	no-parse	-
ndhuzi	no-parse	-
